Region,,ISO code,Language name,,# Datasets
Indonesia,,gzn,Gane,,1
Indonesia,,gay,Gayo,,1
Indonesia,,gei,Gebe,,1
Indonesia,,gef,Gerai,,0
Indonesia,,ges,Geser-Gorom,,1
Indonesia,,goq,Gorap,,0
Indonesia,,gor,Gorontalo,,9
Indonesia,,grs,Gresi,,1
Indonesia,,hji,Haji,,0
Indonesia,,hmu,Hamap,,1
Indonesia,,hrk,Haruku,,1
Indonesia,,had,Hatam,,1
Indonesia,,hvn,Hawu,,3
Indonesia,,heg,Helong,,4
Indonesia,,kjk,Highland Konjo,,0
Indonesia,,htu,Hitu,,1
Indonesia,,hti,Hoti,,0
Indonesia,,hov,Hovongan,,0
Indonesia,,hud,Huaulu,,0
Indonesia,,huw,Hukumina,,1
Indonesia,,huk,Hulung,,0
Indonesia,,hap,Hupla,,0
Indonesia,,tmu,Iau,,2
Indonesia,,iba,Iban,,7
Indonesia,,ibu,Ibu,,0
Indonesia,,ihp,Iha,,1
Indonesia,,ihb,Iha Based Pidgin,,0
Indonesia,,ila,Ile Ape,,1
Indonesia,,ilu,Ili’uun,,1
Indonesia,,imr,Imroing,,1
Indonesia,,ind,Indonesian,,268
Indonesia,,bdl,Indonesian Bajau,,1
Indonesia,,inl,Indonesian Sign Language,,0
Indonesia,,irh,Irarutu,,1
Indonesia,,srl,Isirawa,,1
Indonesia,,itx,Itik,,1
Indonesia,,awv,Jair Awyu,,1
Indonesia,,jax,Jambi Malay,,1
Indonesia,,djo,Jangkang,,0
Indonesia,,jav,Javanese,,75
Indonesia,,jvd,Javindo,,0
Indonesia,,jbr,Jofotek-Bromnya,,1
Indonesia,,klz,Kabola,,1
Indonesia,,uka,Kaburi,,1
Indonesia,,kzd,Kadai,,0
Indonesia,,jka,Kaera,,1
Indonesia,,kpu,Kafoa,,1
Indonesia,,kzb,Kaibobo,,0
Indonesia,,kzp,Kaidipang,,1
Indonesia,,zka,Kaimbulawa,,1
Indonesia,,kzm,Kais,,1
Indonesia,,tcq,Kaiy,,1
Indonesia,,kzz,Kalabra,,1
Indonesia,,kly,Kalao,,1
Indonesia,,kli,Kalumpang,,1
Indonesia,,woi,Kamang,,1
Indonesia,,kzx,Kamarian,,0
