display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Upper Ta’oih (tth),tth,Upper Ta’oih,"Laos, Vietnam",Laos,30900
Western Bru (brv),brv,Western Bru,"Laos, Thailand",Laos,20000
Western Katu (kuf),kuf,Western Katu,Laos,Laos,22800
Yoy (yoy),yoy,Yoy,"Laos, Thailand",Laos,5000
Abai Sungai (abf),abf,Abai Sungai,Malaysia,Malaysia,500
Baram Kayan (kys),kys,Baram Kayan,Malaysia,Malaysia,4150
Batek (btq),btq,Batek,Malaysia,Malaysia,1000
Bintulu (bny),bny,Bintulu,Malaysia,Malaysia,4200
Bonggi (bdg),bdg,Bonggi,Malaysia,Malaysia,1400
Bookan Murut (bnb),bnb,Bookan Murut,Malaysia,Malaysia,1700
Central Berawan (zbc),zbc,Central Berawan,Malaysia,Malaysia,1500
Central Melanau (mel),mel,Central Melanau,Malaysia,Malaysia,113000
Cheq Wong (cwg),cwg,Cheq Wong,Malaysia,Malaysia,460
Daro-Matu Melanau (dro),dro,Daro-Matu Melanau,Malaysia,Malaysia,7600
Dumpas (dmv),dmv,Dumpas,Malaysia,Malaysia,2400
East Berawan (zbe),zbe,East Berawan,Malaysia,Malaysia,1100
Gana (gnq),gnq,Gana,Malaysia,Malaysia,250
Ida’an (dbj),dbj,Ida’an,Malaysia,Malaysia,10000
Iranun (ilm),ilm,Iranun,Malaysia,Malaysia,22000
Jah Hut (jah),jah,Jah Hut,Malaysia,Malaysia,4191
Jakun (jak),jak,Jakun,Malaysia,Malaysia,10000
Jehai (jhi),jhi,Jehai,Malaysia,Malaysia,1250
Kadazan Dusun (dtp),dtp,Kadazan Dusun,Malaysia,Malaysia,264000
Kajaman (kag),kag,Kajaman,Malaysia,Malaysia,500
Kalabakan Murut (kve),kve,Kalabakan Murut,Malaysia,Malaysia,2200
Kanowit-Tanjong Melanau (kxn),kxn,Kanowit-Tanjong Melanau,Malaysia,Malaysia,200
Kedah Malay (meo),meo,Kedah Malay,"Malaysia, Thailand",Malaysia,2600000
Kenaboi (xbn),xbn,Kenaboi,Malaysia,Malaysia,0
Keningau Murut (kxi),kxi,Keningau Murut,Malaysia,Malaysia,3000
Kensiu (kns),kns,Kensiu,"Malaysia, Thailand",Malaysia,250
Kimaragang (kqr),kqr,Kimaragang,Malaysia,Malaysia,90000
Kintaq (knq),knq,Kintaq,Malaysia,Malaysia,110
Kiput (kyi),kyi,Kiput,Malaysia,Malaysia,2460
Klias River Kadazan (kqt),kqt,Klias River Kadazan,Malaysia,Malaysia,800
Kota Marudu Talantang (grm),grm,Kota Marudu Talantang,Malaysia,Malaysia,1800
Kuijau (dkr),dkr,Kuijau,Malaysia,Malaysia,7910
Labuk-Kinabatangan Kadazan (dtb),dtb,Labuk-Kinabatangan Kadazan,Malaysia,Malaysia,20600
Lahanan (lhn),lhn,Lahanan,Malaysia,Malaysia,350
Lanas Lobu (ruu),ruu,Lanas Lobu,Malaysia,Malaysia,4000
Lanoh (lnh),lnh,Lanoh,Malaysia,Malaysia,240
Lelak (llk),llk,Lelak,Malaysia,Malaysia,220
Long Wat (ttw),ttw,Long Wat,Malaysia,Malaysia,600
Lotud (dtr),dtr,Lotud,Malaysia,Malaysia,20000
Mah Meri (mhe),mhe,Mah Meri,Malaysia,Malaysia,2990
Malaccan Malay Creole (ccm),ccm,Malaccan Malay Creole,Malaysia,Malaysia,300
Malaccan Portuguese Creole (mcm),mcm,Malaccan Portuguese Creole,Malaysia,Malaysia,2150
Malay (zlm),zlm,Malay,Malaysia,Malaysia,13500000
Malaysian Sign Language (xml),xml,Malaysian Sign Language,Malaysia,Malaysia,58700
Minokok (mqq),mqq,Minokok,Malaysia,Malaysia,1200
Minriq (mnq),mnq,Minriq,Malaysia,Malaysia,270
Mintil (mzt),mzt,Mintil,Malaysia,Malaysia,180
Molbog (pwm),pwm,Molbog,"Malaysia, Philippines",Malaysia,6680
Murik (mxr),mxr,Murik,Malaysia,Malaysia,1120
Narom (nrm),nrm,Narom,Malaysia,Malaysia,2420
Negeri Sembilan Malay (zmi),zmi,Negeri Sembilan Malay,Malaysia,Malaysia,500000
Northern Tidung (ntd),ntd,Northern Tidung,Malaysia,Malaysia,5000
Orang Kanaq (orn),orn,Orang Kanaq,Malaysia,Malaysia,80
Orang Seletar (ors),ors,Orang Seletar,Malaysia,Malaysia,880
Paluan Murut (plz),plz,Paluan Murut,Malaysia,Malaysia,5500
Papar (dpp),dpp,Papar,Malaysia,Malaysia,500
Penang Sign Language (psg),psg,Penang Sign Language,Malaysia,Malaysia,1000
Punan Bah-Biau (pna),pna,Punan Bah-Biau,Malaysia,Malaysia,450
Punan Batu (pnm),pnm,Punan Batu,Malaysia,Malaysia,30
Rejang Kayan (ree),ree,Rejang Kayan,Malaysia,Malaysia,3030
Remun (lkj),lkj,Remun,Malaysia,Malaysia,3500
Rungus (drg),drg,Rungus,Malaysia,Malaysia,55000
Sabah Bisaya (bsy),bsy,Sabah Bisaya,Malaysia,Malaysia,21000
Sabah Malay (msi),msi,Sabah Malay,Malaysia,Malaysia,3000000
Sabüm (sbo),sbo,Sabüm,Malaysia,Malaysia,0
Sebop (sib),sib,Sebop,Malaysia,Malaysia,1730
Sekapan (skp),skp,Sekapan,Malaysia,Malaysia,750
Selangor Sign Language (kgi),kgi,Selangor Sign Language,Malaysia,Malaysia,500
Semai (sea),sea,Semai,Malaysia,Malaysia,10000
Semaq Beri (szc),szc,Semaq Beri,Malaysia,Malaysia,2000
Semelai (sza),sza,Semelai,Malaysia,Malaysia,4100
Semnam (ssm),ssm,Semnam,Malaysia,Malaysia,670
Serudung Murut (srk),srk,Serudung Murut,Malaysia,Malaysia,400
Sibu Melanau (sdx),sdx,Sibu Melanau,Malaysia,Malaysia,420
Sihan (spg),spg,Sihan,Malaysia,Malaysia,50
Standard Malay (zsm),zsm,Standard Malay,"Malaysia, Brunei, Singapore",Malaysia,13500000
Sugut Dusun (kzs),kzs,Sugut Dusun,Malaysia,Malaysia,240000
Tampias Lobu (low),low,Tampias Lobu,Malaysia,Malaysia,4500
Tatana (txx),txx,Tatana,Malaysia,Malaysia,10000
Temiar (tea),tea,Temiar,Malaysia,Malaysia,15000
Temoq (tmo),tmo,Temoq,Malaysia,Malaysia,300
Temuan (tmw),tmw,Temuan,Malaysia,Malaysia,8000
Ten’edn (tnz),tnz,Ten’edn,"Malaysia, Thailand",Malaysia,350
Timugon Murut (tih),tih,Timugon Murut,Malaysia,Malaysia,9000
Tobilung (tgb),tgb,Tobilung,Malaysia,Malaysia,4000
Tombonuo (txa),txa,Tombonuo,Malaysia,Malaysia,13000
Tring (tgq),tgq,Tring,Malaysia,Malaysia,550
Tringgus-Sembaan Bidayuh (trx),trx,Tringgus-Sembaan Bidayuh,Malaysia,Malaysia,850
Ukit (umi),umi,Ukit,Malaysia,Malaysia,120
Upper Kinabatangan (dmg),dmg,Upper Kinabatangan,Malaysia,Malaysia,1000
West Berawan (zbw),zbw,West Berawan,Malaysia,Malaysia,1000
West Coast Bajau (bdr),bdr,West Coast Bajau,Malaysia,Malaysia,436672
Western Penan (pne),pne,Western Penan,Malaysia,Malaysia,3400
Akyaung Ari Naga (nqy),nqy,Akyaung Ari Naga,Myanmar,Myanmar,1000
Anong (nun),nun,Anong,Myanmar,Myanmar,400
Anu-Khongso Chin (anl),anl,Anu-Khongso Chin,Myanmar,Myanmar,4000
Asho Chin (csh),csh,Asho Chin,Myanmar,Myanmar,170000
Bawm Chin (bgr),bgr,Bawm Chin,Myanmar,Myanmar,4440
Blang (blr),blr,Blang,"Myanmar, Thailand",Myanmar,42000
Bualkhaw Chin (cbl),cbl,Bualkhaw Chin,Myanmar,Myanmar,2500
Burmese (mya),mya,Burmese,Myanmar,Myanmar,42875600
Bwe Karen (bwe),bwe,Bwe Karen,Myanmar,Myanmar,17200
Chak (ckh),ckh,Chak,Myanmar,Myanmar,3000
Chakma (ccp),ccp,Chakma,Myanmar,Myanmar,150000
Chen-Kayu Naga (nqq),nqq,Chen-Kayu Naga,Myanmar,Myanmar,9000
Daai Chin (dao),dao,Daai Chin,Myanmar,Myanmar,37000
Danau (dnu),dnu,Danau,Myanmar,Myanmar,1000
Danu (dnv),dnv,Danu,Myanmar,Myanmar,100000
Drung (duu),duu,Drung,Myanmar,Myanmar,14000
Eastern Kayah (eky),eky,Eastern Kayah,"Myanmar, Thailand",Myanmar,8000
Eastern Khumi Chin (cek),cek,Eastern Khumi Chin,Myanmar,Myanmar,12000
Ekai Chin (cey),cey,Ekai Chin,Myanmar,Myanmar,6100
Falam Chin (cfm),cfm,Falam Chin,Myanmar,Myanmar,69000
Geba Karen (kvq),kvq,Geba Karen,Myanmar,Myanmar,40000
Geko Karen (ghk),ghk,Geko Karen,Myanmar,Myanmar,17000
Hakha Chin (cnh),cnh,Hakha Chin,Myanmar,Myanmar,140000
Hpon (hpo),hpo,Hpon,Myanmar,Myanmar,0
Intha (int),int,Intha,Myanmar,Myanmar,90000
Jejara Naga (pzn),pzn,Jejara Naga,Myanmar,Myanmar,1500
Jingpho (kac),kac,Jingpho,Myanmar,Myanmar,900000
Kaang Chin (ckn),ckn,Kaang Chin,Myanmar,Myanmar,1000
Kadu (zkd),zkd,Kadu,Myanmar,Myanmar,30000
Kanan (zkn),zkn,Kanan,Myanmar,Myanmar,9000
Kawyaw (kxf),kxf,Kawyaw,Myanmar,Myanmar,10000
Kayan (pdu),pdu,Kayan,Myanmar,Myanmar,133000
Kayaw (kvl),kvl,Kayaw,Myanmar,Myanmar,16600
Khams Tibetan (khg),khg,Khams Tibetan,Myanmar,Myanmar,1380000
Khamti (kht),kht,Khamti,Myanmar,Myanmar,8000
Khiamniungan Naga (kix),kix,Khiamniungan Naga,Myanmar,Myanmar,37800
Khumi Chin (cnk),cnk,Khumi Chin,Myanmar,Myanmar,60000
Khün (kkh),kkh,Khün,Myanmar,Myanmar,100000
Kokak Naga (nxk),nxk,Kokak Naga,Myanmar,Myanmar,2000
Konyak Naga (nbe),nbe,Konyak Naga,Myanmar,Myanmar,248000
Lacid (lsi),lsi,Lacid,Myanmar,Myanmar,30000
Lahta (kvt),kvt,Lahta,Myanmar,Myanmar,9550
Lahu Shi (lhi),lhi,Lahu Shi,Myanmar,Myanmar,117000
Lainong Naga (lzn),lzn,Lainong Naga,Myanmar,Myanmar,7000
Laitu Chin (clj),clj,Laitu Chin,Myanmar,Myanmar,15000
Lao Naga (nlq),nlq,Lao Naga,Myanmar,Myanmar,1000
Lautu Chin (clt),clt,Lautu Chin,Myanmar,Myanmar,15000
Lhao Vo (mhx),mhx,Lhao Vo,Myanmar,Myanmar,100000
Lisu (lis),lis,Lisu,Myanmar,Myanmar,600000
Long Phuri Naga (lpn),lpn,Long Phuri Naga,Myanmar,Myanmar,1000
Makuri Naga (jmn),jmn,Makuri Naga,Myanmar,Myanmar,2500
Mara Chin (mrh),mrh,Mara Chin,Myanmar,Myanmar,34800
Matu Chin (hlt),hlt,Matu Chin,Myanmar,Myanmar,30000
Mizo Chin (lus),lus,Mizo Chin,Myanmar,Myanmar,675000
Mobwa Karen (jkm),jkm,Mobwa Karen,Myanmar,Myanmar,4000
Mok (mqt),mqt,Mok,"Myanmar, Thailand",Myanmar,7
Moken (mwt),mwt,Moken,"Myanmar, Thailand",Myanmar,4000
Mon (mnw),mnw,Mon,"Myanmar, Thailand",Myanmar,743000
Mro-Khimi (cmr),cmr,Mro-Khimi,Myanmar,Myanmar,75000
Mru (mro),mro,Mru,Myanmar,Myanmar,30000
Muak Sa-aak (ukk),ukk,Muak Sa-aak,Myanmar,Myanmar,4500
Müün Chin (mwq),mwq,Müün Chin,Myanmar,Myanmar,15000
Myanmar Sign Language (ysm),ysm,Myanmar Sign Language,Myanmar,Myanmar,270000
Ngawn Chin (cnw),cnw,Ngawn Chin,Myanmar,Myanmar,15000
Ngochang (acn),acn,Ngochang,Myanmar,Myanmar,27700
Nusu (nuf),nuf,Nusu,Myanmar,Myanmar,12000
Pa’o (blk),blk,Pa’o,"Myanmar, Thailand",Myanmar,560000
Paku Karen (jkp),jkp,Paku Karen,Myanmar,Myanmar,5300
Parauk Wa (prk),prk,Parauk Wa,Myanmar,Myanmar,400000
Paungnyuan Naga (umn),umn,Paungnyuan Naga,Myanmar,Myanmar,4000
Ponyo-Gongwang Naga (npg),npg,Ponyo-Gongwang Naga,Myanmar,Myanmar,4500
Pwo Eastern Karen (kjp),kjp,Pwo Eastern Karen,"Myanmar, Thailand",Myanmar,1000000
Pwo Western Karen (pwo),pwo,Pwo Western Karen,Myanmar,Myanmar,210000
Pyen (pyy),pyy,Pyen,Myanmar,Myanmar,600
Rakhine (rki),rki,Rakhine,Myanmar,Myanmar,1820000
Rawang (raw),raw,Rawang,Myanmar,Myanmar,62000
Rawngtu Chin (weu),weu,Rawngtu Chin,Myanmar,Myanmar,5000
Riang Lai (yin),yin,Riang Lai,Myanmar,Myanmar,12000
Riang Lang (ril),ril,Riang Lang,Myanmar,Myanmar,12500
Rohingya (rhg),rhg,Rohingya,Myanmar,Myanmar,800000
Ruching Palaung (pce),pce,Ruching Palaung,Myanmar,Myanmar,258000
Rumai Palaung (rbb),rbb,Rumai Palaung,Myanmar,Myanmar,139000
Rungtu Chin (rtc),rtc,Rungtu Chin,Myanmar,Myanmar,4000
S’gaw Karen (ksw),ksw,S’gaw Karen,"Myanmar, Thailand",Myanmar,1360000
Samtao (stu),stu,Samtao,Myanmar,Myanmar,9550
Senthang Chin (sez),sez,Senthang Chin,Myanmar,Myanmar,33000
Shan (shn),shn,Shan,"Myanmar, Thailand",Myanmar,3200000
Shwe Palaung (pll),pll,Shwe Palaung,Myanmar,Myanmar,148000
Siyin Chin (csy),csy,Siyin Chin,Myanmar,Myanmar,10000
Songlai Chin (csj),csj,Songlai Chin,Myanmar,Myanmar,7300
Sumtu Chin (csv),csv,Sumtu Chin,Myanmar,Myanmar,14000
Tai Laing (tjl),tjl,Tai Laing,Myanmar,Myanmar,100000
Tai Nüa (tdd),tdd,Tai Nüa,Myanmar,Myanmar,540000
Taman (tcl),tcl,Taman,Myanmar,Myanmar,0
Tangkhul Naga (ntx),ntx,Tangkhul Naga,Myanmar,Myanmar,4000
Tangshang Naga (nst),nst,Tangshang Naga,Myanmar,Myanmar,60000
Taungyo (tco),tco,Taungyo,Myanmar,Myanmar,40000
Tavoyan (tvn),tvn,Tavoyan,Myanmar,Myanmar,400000
Tawr Chin (tcp),tcp,Tawr Chin,Myanmar,Myanmar,700
Tedim Chin (ctd),ctd,Tedim Chin,Myanmar,Myanmar,189000
Thado Chin (tcz),tcz,Thado Chin,Myanmar,Myanmar,243000
Thaiphum Chin (cth),cth,Thaiphum Chin,Myanmar,Myanmar,1000
Uppu Chin (cnb),cnb,Uppu Chin,Myanmar,Myanmar,19600
Western Kayah (kyu),kyu,Western Kayah,Myanmar,Myanmar,150000
Wewaw (wea),wea,Wewaw,Myanmar,Myanmar,0
Yinbaw (kvu),kvu,Yinbaw,Myanmar,Myanmar,7300
Yintale (kvy),kvy,Yintale,Myanmar,Myanmar,1000
Zaiwa (atb),atb,Zaiwa,Myanmar,Myanmar,80000
Zayein (kxk),kxk,Zayein,Myanmar,Myanmar,9300
Zo (zom),zom,Zo,Myanmar,Myanmar,61000
Zotung Chin (czt),czt,Zotung Chin,Myanmar,Myanmar,40000
Zyphe Chin (zyp),zyp,Zyphe Chin,Myanmar,Myanmar,17000
Abellen Ayta (abp),abp,Abellen Ayta,Philippines,Philippines,3000
Adasen (tiu),tiu,Adasen,Philippines,Philippines,4000
Agusan Manobo (msm),msm,Agusan Manobo,Philippines,Philippines,60000
Agutaynen (agn),agn,Agutaynen,Philippines,Philippines,15000
Aklanon (akl),akl,Aklanon,Philippines,Philippines,93200
Alangan (alj),alj,Alangan,Philippines,Philippines,2150
Ambala Ayta (abc),abc,Ambala Ayta,Philippines,Philippines,1660
Amganad Ifugao (ifa),ifa,Amganad Ifugao,Philippines,Philippines,27100
Arta (atz),atz,Arta,Philippines,Philippines,11
Ata (atm),atm,Ata,Philippines,Philippines,2
Ata Manobo (atd),atd,Ata Manobo,Philippines,Philippines,26700
Ati (atk),atk,Ati,Philippines,Philippines,1500
Bagobo-Klata (bgi),bgi,Bagobo-Klata,Philippines,Philippines,55000
Balangao (blw),blw,Balangao,Philippines,Philippines,21300
Balangingih Sama (sse),sse,Balangingih Sama,Philippines,Philippines,80000
Bangon (bnj),bnj,Bangon,Philippines,Philippines,1130
Bantayanon (bfx),bfx,Bantayanon,Philippines,Philippines,71600
Bantoanon (bno),bno,Bantoanon,Philippines,Philippines,75000
Batad Ifugao (ifb),ifb,Batad Ifugao,Philippines,Philippines,10100
Batak (bya),bya,Batak,Philippines,Philippines,1480
Baybayanon (bvy),bvy,Baybayanon,Philippines,Philippines,10000
Binongan Itneg (itb),itb,Binongan Itneg,Philippines,Philippines,7500
Binukid (bkd),bkd,Binukid,Philippines,Philippines,100000
Bogkalot (ilk),ilk,Bogkalot,Philippines,Philippines,50800
Bolinao (smk),smk,Bolinao,Philippines,Philippines,56200
Botolan Sambal (sbl),sbl,Botolan Sambal,Philippines,Philippines,32900
Brooke’s Point Palawano (plw),plw,Brooke’s Point Palawano,Philippines,Philippines,14400
Buhi’non Bikol (ubl),ubl,Buhi’non Bikol,Philippines,Philippines,73600
Buhid (bku),bku,Buhid,Philippines,Philippines,9370
Butbut Kalinga (kyb),kyb,Butbut Kalinga,Philippines,Philippines,15000
Butuanon (btw),btw,Butuanon,Philippines,Philippines,34500
Calamian Tagbanwa (tbk),tbk,Calamian Tagbanwa,Philippines,Philippines,10000
Caluyanun (clu),clu,Caluyanun,Philippines,Philippines,30000
Capiznon (cps),cps,Capiznon,Philippines,Philippines,639000
Casiguran Dumagat Agta (dgc),dgc,Casiguran Dumagat Agta,Philippines,Philippines,610
Cebuano (ceb),ceb,Cebuano,Philippines,Philippines,15800000
Central Bikol (bcl),bcl,Central Bikol,Philippines,Philippines,2500000
Central Bontok (lbk),lbk,Central Bontok,Philippines,Philippines,19600
Central Cagayan Agta (agt),agt,Central Cagayan Agta,Philippines,Philippines,780
Central Palawano (plc),plc,Central Palawano,Philippines,Philippines,12000
Central Sama (sml),sml,Central Sama,Philippines,Philippines,90000
Central Subanen (syb),syb,Central Subanen,Philippines,Philippines,140000
Central Tagbanwa (tgt),tgt,Central Tagbanwa,Philippines,Philippines,2000
Chavacano (cbk),cbk,Chavacano,Philippines,Philippines,1200000
Cotabato Manobo (mta),mta,Cotabato Manobo,Philippines,Philippines,30000
Cuyonon (cyo),cyo,Cuyonon,Philippines,Philippines,123000
Davawenyo (daw),daw,Davawenyo,Philippines,Philippines,147000
Dibabawon Manobo (mbd),mbd,Dibabawon Manobo,Philippines,Philippines,10000
Dicamay Agta (duy),duy,Dicamay Agta,Philippines,Philippines,0
Dupaninan Agta (duo),duo,Dupaninan Agta,Philippines,Philippines,1200
Eastern Bontok (ebk),ebk,Eastern Bontok,Philippines,Philippines,6170
Eastern Subanen (sfe),sfe,Eastern Subanen,Philippines,Philippines,7000
Eskayan (esy),esy,Eskayan,Philippines,Philippines,500
Faire Atta (azt),azt,Faire Atta,Philippines,Philippines,300
Filipino (fil),fil,Filipino,Philippines,Philippines,45000000
Filipino Sign Language (psp),psp,Filipino Sign Language,Philippines,Philippines,100000
Cebuano Sign Language (psp_ceb),psp_ceb,Cebuano Sign Language,Philippines,Philippines,-
Ga’dang (gdg),gdg,Ga’dang,Philippines,Philippines,6000
Gaddang (gad),gad,Gaddang,Philippines,Philippines,30000
Hanunoo (hnn),hnn,Hanunoo,Philippines,Philippines,18800
Higaonon (mba),mba,Higaonon,Philippines,Philippines,30000
Hiligaynon (hil),hil,Hiligaynon,Philippines,Philippines,5770000
I-wak (iwk),iwk,I-wak,Philippines,Philippines,3260
Ibaloi (ibl),ibl,Ibaloi,Philippines,Philippines,111000
Ibanag (ibg),ibg,Ibanag,Philippines,Philippines,500000
Ibatan (ivb),ivb,Ibatan,Philippines,Philippines,1240
Ilianen Manobo (mbi),mbi,Ilianen Manobo,Philippines,Philippines,14600
Ilocano (ilo),ilo,Ilocano,Philippines,Philippines,6920000
Inabaknon (abx),abx,Inabaknon,Philippines,Philippines,26400
Inagta Alabat (dul),dul,Inagta Alabat,Philippines,Philippines,30
Inlaud Itneg (iti),iti,Inlaud Itneg,Philippines,Philippines,9000
Inonhan (loc),loc,Inonhan,Philippines,Philippines,85800
Iranun (ilp),ilp,Iranun,Philippines,Philippines,241000
Iraya (iry),iry,Iraya,Philippines,Philippines,10000
Isinay (inn),inn,Isinay,Philippines,Philippines,5520
Isnag (isd),isd,Isnag,Philippines,Philippines,450
Itawit (itv),itv,Itawit,Philippines,Philippines,134000
Ivatan (ivv),ivv,Ivatan,Philippines,Philippines,35000
Kagan Kalagan (kll),kll,Kagan Kalagan,Philippines,Philippines,6000
Kagayanen (cgc),cgc,Kagayanen,Philippines,Philippines,30000
Kalagan (kqe),kqe,Kalagan,Philippines,Philippines,70000
Kalanguya (kak),kak,Kalanguya,Philippines,Philippines,100000
Kamayo (kyk),kyk,Kamayo,Philippines,Philippines,363000
Kankanaey (kne),kne,Kankanaey,Philippines,Philippines,150000
Kapampangan (pam),pam,Kapampangan,Philippines,Philippines,1900000
Karao (kyj),kyj,Karao,Philippines,Philippines,2000
Kasiguranin (ksn),ksn,Kasiguranin,Philippines,Philippines,10000
Katubung Agta (agk),agk,Katubung Agta,Philippines,Philippines,5
Keley-i Kallahan (ify),ify,Keley-i Kallahan,Philippines,Philippines,8000
Kinabalian (cbw),cbw,Kinabalian,Philippines,Philippines,14000
Kinamiging Manobo (mkx),mkx,Kinamiging Manobo,Philippines,Philippines,26700
Kinaray-a (krj),krj,Kinaray-a,Philippines,Philippines,378000
Kolibugan Subanon (skn),skn,Kolibugan Subanon,Philippines,Philippines,20000
Koronadal Blaan (bpr),bpr,Koronadal Blaan,Philippines,Philippines,150000
Libon Bikol (lbl),lbl,Libon Bikol,Philippines,Philippines,68800
Limos Kalinga (kmk),kmk,Limos Kalinga,Philippines,Philippines,12700
Lubuagan Kalinga (knb),knb,Lubuagan Kalinga,Philippines,Philippines,30000
Mabaka Valley Kalinga (kkg),kkg,Mabaka Valley Kalinga,Philippines,Philippines,12000
Maeng Itneg (itt),itt,Maeng Itneg,Philippines,Philippines,18000
Mag-antsi Ayta (sgb),sgb,Mag-antsi Ayta,Philippines,Philippines,8200
Mag-Indi Ayta (blx),blx,Mag-Indi Ayta,Philippines,Philippines,5000
Magbukun Ayta (ayt),ayt,Magbukun Ayta,Philippines,Philippines,1000
Maguindanaon (mdh),mdh,Maguindanaon,Philippines,Philippines,1100000
Majukayang Kalinga (kmd),kmd,Majukayang Kalinga,Philippines,Philippines,1500
Malaynon (mlz),mlz,Malaynon,Philippines,Philippines,8500
Mandaya (mry),mry,Mandaya,Philippines,Philippines,250000
Manide (abd),abd,Manide,Philippines,Philippines,3800
Mansaka (msk),msk,Mansaka,Philippines,Philippines,57800
Mapun (sjm),sjm,Mapun,Philippines,Philippines,43000
Maranao (mrw),mrw,Maranao,Philippines,Philippines,776000
Masadiit Itneg (tis),tis,Masadiit Itneg,Philippines,Philippines,7500
Masbatenyo (msb),msb,Masbatenyo,Philippines,Philippines,600000
Matigsalug Manobo (mbt),mbt,Matigsalug Manobo,Philippines,Philippines,50000
Mayoyao Ifugao (ifu),ifu,Mayoyao Ifugao,Philippines,Philippines,30000
Minamanwa (mmn),mmn,Minamanwa,Philippines,Philippines,5150
Miraya Bikol (rbl),rbl,Miraya Bikol,Philippines,Philippines,300000
Moyadan Itneg (ity),ity,Moyadan Itneg,Philippines,Philippines,12000
Mt. Iraya Agta (atl),atl,Mt. Iraya Agta,Philippines,Philippines,150
Mt. Iriga Agta (agz),agz,Mt. Iriga Agta,Philippines,Philippines,1500
Northern Alta (aqn),aqn,Northern Alta,Philippines,Philippines,200
Northern Binukidnon (kyn),kyn,Northern Binukidnon,Philippines,Philippines,15100
Northern Bontok (rbk),rbk,Northern Bontok,Philippines,Philippines,9700
Northern Catanduanes Bikol (cts),cts,Northern Catanduanes Bikol,Philippines,Philippines,77500
Northern Kankanay (xnn),xnn,Northern Kankanay,Philippines,Philippines,70000
Northern Sorsoganon (bks),bks,Northern Sorsoganon,Philippines,Philippines,85000
Northern Subanen (stb),stb,Northern Subanen,Philippines,Philippines,85400
Obo Manobo (obo),obo,Obo Manobo,Philippines,Philippines,60000
Pahanan Agta (apf),apf,Pahanan Agta,Philippines,Philippines,1700
Pamplona Atta (att),att,Pamplona Atta,Philippines,Philippines,1000
Pangasinan (pag),pag,Pangasinan,Philippines,Philippines,1160000
Pangutaran Sama (slm),slm,Pangutaran Sama,Philippines,Philippines,35200
Paranan (prf),prf,Paranan,Philippines,Philippines,15000
Porohanon (prh),prh,Porohanon,Philippines,Philippines,23000
Pudtol Atta (atp),atp,Pudtol Atta,Philippines,Philippines,710
Rajah Kabunsuwan Manobo (mqk),mqk,Rajah Kabunsuwan Manobo,Philippines,Philippines,7560
Ratagnon (btn),btn,Ratagnon,Philippines,Philippines,2
Remontado Dumagat (agv),agv,Remontado Dumagat,Philippines,Philippines,2530
Rinconada Bikol (bto),bto,Rinconada Bikol,Philippines,Philippines,385000
Romblomanon (rol),rol,Romblomanon,Philippines,Philippines,94000
Sambal (xsb),xsb,Sambal,Philippines,Philippines,70000
Sangil (snl),snl,Sangil,Philippines,Philippines,15000
Sarangani Blaan (bps),bps,Sarangani Blaan,Philippines,Philippines,90800
Sarangani Manobo (mbs),mbs,Sarangani Manobo,Philippines,Philippines,58000
Sorsogon Ayta (ays),ays,Sorsogon Ayta,Philippines,Philippines,15
Southern Alta (agy),agy,Southern Alta,Philippines,Philippines,1000
Southern Binukidnon (mtw),mtw,Southern Binukidnon,Philippines,Philippines,7570
Southern Bontok (obk),obk,Southern Bontok,Philippines,Philippines,2760
Southern Catanduanes Bikol (bln),bln,Southern Catanduanes Bikol,Philippines,Philippines,135000
Southern Kalinga (ksc),ksc,Southern Kalinga,Philippines,Philippines,13000
Southern Sama (ssb),ssb,Southern Sama,Philippines,Philippines,200000
Southern Sorsoganon (srv),srv,Southern Sorsoganon,Philippines,Philippines,185000
Southern Subanen (laa),laa,Southern Subanen,Philippines,Philippines,25000
Southwest Palawano (plv),plv,Southwest Palawano,Philippines,Philippines,12000
Southwestern Bontok (vbk),vbk,Southwestern Bontok,Philippines,Philippines,2470
Sulod (srg),srg,Sulod,Philippines,Philippines,14000
Surigaonon (sgd),sgd,Surigaonon,Philippines,Philippines,400000
Tadyawan (tdy),tdy,Tadyawan,Philippines,Philippines,2940
Tagabawa (bgs),bgs,Tagabawa,Philippines,Philippines,43000
Tagakaulo (klg),klg,Tagakaulo,Philippines,Philippines,83000
Tagalog (tgl),tgl,Tagalog,Philippines,Philippines,24628290
Tagbanwa (tbw),tbw,Tagbanwa,Philippines,Philippines,10000
Tandaganon (tgn),tgn,Tandaganon,Philippines,Philippines,100000
Tanudan Kalinga (kml),kml,Tanudan Kalinga,Philippines,Philippines,11200
Tausug (tsg),tsg,Tausug,Philippines,Philippines,900000
Tawbuid (twb),twb,Tawbuid,Philippines,Philippines,6810
Tboli (tbl),tbl,Tboli,Philippines,Philippines,95300
Teduray (tiy),tiy,Teduray,Philippines,Philippines,50000
Tuwali Ifugao (ifk),ifk,Tuwali Ifugao,Philippines,Philippines,30000
Umiray Dumaget Agta (due),due,Umiray Dumaget Agta,Philippines,Philippines,3000
Vanaw Kalinga (bjx),bjx,Vanaw Kalinga,Philippines,Philippines,3500
Villa Viciosa Agta (dyg),dyg,Villa Viciosa Agta,Philippines,Philippines,0
Waray-Waray (war),war,Waray-Waray,Philippines,Philippines,2560000
