display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Behoa (bep),bep,Behoa,Indonesia,Indonesia,10000
Beneraf (bnv),bnv,Beneraf,Indonesia,Indonesia,200
Benggoi (bgy),bgy,Benggoi,Indonesia,Indonesia,350
Bentong (bnu),bnu,Bentong,Indonesia,Indonesia,25000
Benyadu’ (byd),byd,Benyadu’,Indonesia,Indonesia,54000
Berau Malay (bve),bve,Berau Malay,Indonesia,Indonesia,11200
Berik (bkl),bkl,Berik,Indonesia,Indonesia,1200
Betaf (bfe),bfe,Betaf,Indonesia,Indonesia,600
Betawi (bew),bew,Betawi,Indonesia,Indonesia,5000000
Biak (bhw),bhw,Biak,Indonesia,Indonesia,70000
Bian Marind (bpv),bpv,Bian Marind,Indonesia,Indonesia,2900
Biatah Bidayuh (bth),bth,Biatah Bidayuh,"Indonesia, Malaysia",Indonesia,63900
Biga (bhc),bhc,Biga,Indonesia,Indonesia,300
Bilba (bpz),bpz,Bilba,Indonesia,Indonesia,7000
Bima (bhp),bhp,Bima,Indonesia,Indonesia,500000
Bintauna (bne),bne,Bintauna,Indonesia,Indonesia,11200
Biritai (bqq),bqq,Biritai,Indonesia,Indonesia,250
Blagar (beu),beu,Blagar,Indonesia,Indonesia,11000
Boano (bzn),bzn,Boano,Indonesia,Indonesia,3240
Boano (bzl),bzl,Boano,Indonesia,Indonesia,2700
Bobongko (bgb),bgb,Bobongko,Indonesia,Indonesia,1500
Bobot (bty),bty,Bobot,Indonesia,Indonesia,4500
Bolango (bld),bld,Bolango,Indonesia,Indonesia,23000
Bonerate (bna),bna,Bonerate,Indonesia,Indonesia,9500
Bonggo (bpg),bpg,Bonggo,Indonesia,Indonesia,790
Budong-Budong (bdx),bdx,Budong-Budong,Indonesia,Indonesia,70
Bugis (bug),bug,Bugis,Indonesia,Indonesia,5500000
Bukar-Sadong Bidayuh (sdo),sdo,Bukar-Sadong Bidayuh,"Indonesia, Malaysia",Indonesia,49100
Bukat (bvk),bvk,Bukat,Indonesia,Indonesia,400
Bukit Malay (bvu),bvu,Bukit Malay,Indonesia,Indonesia,59000
Bukitan (bkn),bkn,Bukitan,"Indonesia, Malaysia",Indonesia,570
Buli (bzq),bzq,Buli,Indonesia,Indonesia,2520
Bulungan (blj),blj,Bulungan,Indonesia,Indonesia,30000
Bungku (bkz),bkz,Bungku,Indonesia,Indonesia,27000
Buol (blf),blf,Buol,Indonesia,Indonesia,96000
Burate (bti),bti,Burate,Indonesia,Indonesia,100
Burmeso (bzu),bzu,Burmeso,Indonesia,Indonesia,250
Buru (mhs),mhs,Buru,Indonesia,Indonesia,45000
Burumakok (aip),aip,Burumakok,Indonesia,Indonesia,40
Burusu (bqr),bqr,Burusu,Indonesia,Indonesia,4350
Buruwai (asi),asi,Buruwai,Indonesia,Indonesia,1000
Busami (bsm),bsm,Busami,Indonesia,Indonesia,700
Busang Kayan (bfg),bfg,Busang Kayan,Indonesia,Indonesia,3000
Busoa (bup),bup,Busoa,Indonesia,Indonesia,2300
Casuarina Coast Asmat (asc),asc,Casuarina Coast Asmat,Indonesia,Indonesia,9000
Central Asmat (cns),cns,Central Asmat,Indonesia,Indonesia,7000
Central Awyu (awu),awu,Central Awyu,Indonesia,Indonesia,7500
Central Malay (pse),pse,Central Malay,Indonesia,Indonesia,1590000
Central Masela (mxz),mxz,Central Masela,Indonesia,Indonesia,510
Cia-Cia (cia),cia,Cia-Cia,Indonesia,Indonesia,79000
Citak (txt),txt,Citak,Indonesia,Indonesia,8000
Coastal Konjo (kjc),kjc,Coastal Konjo,Indonesia,Indonesia,125000
Col (liw),liw,Col,Indonesia,Indonesia,145000
Da’a Kaili (kzf),kzf,Da’a Kaili,Indonesia,Indonesia,55000
Dabe (dbe),dbe,Dabe,Indonesia,Indonesia,440
Dai (dij),dij,Dai,Indonesia,Indonesia,820
Dakka (dkk),dkk,Dakka,Indonesia,Indonesia,1500
Damal (uhn),uhn,Damal,Indonesia,Indonesia,14000
