index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
18,flores200_eng_Latn_ind_Latn_seacrowd_t2t,11.613457239260196,11.744106641761014,50.572126751224374,34.638740335582355,21.28225050243971,33.34933728384441,33.41617311926448,11.61805707153865,11.737834056761278,50.56874129767025,34.52640181830615,21.111761971408228,33.22776749090547,33.3181891821697,0
19,flores200_eng_Latn_jav_Latn_seacrowd_t2t,2.8278963422731347,2.880936591232857,31.153720857538364,15.402721559302712,4.867988110496206,14.622911102352612,14.656188002466655,3.007601827931219,3.0855221340964354,31.736914492027395,16.203198437897694,5.273143816134442,15.378894767189955,15.409455175969713,0
20,flores200_eng_Latn_kac_Latn_seacrowd_t2t,0.0,0.002261858716378141,1.5445854413948068,0.3887997788933594,0.0738905518347124,0.34706810776367997,0.35075018018878396,0.006963890036115374,0.008291708102534082,5.705003513791365,0.607907520612221,0.10068597180561364,0.5610638004038364,0.5636313357394199,0
21,flores200_eng_Latn_khm_Khmr_seacrowd_t2t,0.6687794014361607,0.24092840168231183,11.663773354107976,2.2731841328560565,1.1613666307342196,2.278759167890225,2.3002174614731823,4.9638971428434534e-05,0.36496990040900174,0.797394193659292,2.26983672865782,0.5798776870911257,2.2727175467517893,2.258218203529219,0
22,flores200_eng_Latn_lao_Laoo_seacrowd_t2t,0.15917842388312917,0.20493749778698875,5.636042343152113,2.1214836707090416,0.69911443412736,2.0916357939299974,2.0798319532261087,0.07293837434348047,0.1921323181464996,1.0262262703077991,1.5334703149655697,0.4582998181738097,1.5078337372428376,1.5059221471109803,0
23,flores200_eng_Latn_lus_Latn_seacrowd_t2t,1.3145235466075191,1.2928050876493409,13.40656602206905,7.210797608786118,0.9773425331697054,6.656956975441072,6.7384377748670055,1.3189402798021186,1.3068945020340892,15.24191172876767,5.704337497008003,0.9985221445664658,5.132882738773762,5.221158588441028,0
24,flores200_eng_Latn_min_Latn_seacrowd_t2t,2.5468444014964358,2.6033524104302326,31.988314918132755,14.587804130323162,4.372740835351103,13.798396165822302,13.866316882762742,2.4962206601870216,2.5626696820575763,31.945239200336555,14.484932678196094,4.29524469388929,13.666159518997675,13.76617712132265,0
25,flores200_eng_Latn_mya_Mymr_seacrowd_t2t,1.1973022115342717,0.241003257254828,7.8053909953995495,1.0920287594993134,0.3225832755847578,1.0786912463455867,1.0993246425325969,0.01352601859684865,0.09382079932316746,0.22308189569567632,0.5716363440063189,0.0614874703259735,0.5647972317869105,0.5722941302130748,0
26,flores200_eng_Latn_pag_Latn_seacrowd_t2t,1.5038721503472594,1.520626155028529,26.475941497751553,7.790637961569846,2.083562234401142,7.13269034960555,7.3080514156755925,1.4987824716872136,1.5286002476240301,26.46137124287286,7.723281045343013,2.025867473812648,7.053278422937756,7.2426906778279845,0
27,flores200_eng_Latn_shn_Mymr_seacrowd_t2t,0.0726546953371991,0.3029462757063757,3.200150953260683,1.9610464848092355,0.7230476883847123,1.886865616657747,1.8847248272789017,0.00974555735468229,0.3048696929744836,1.1959265999956696,2.311871119323886,0.4578032020081784,2.186704561450682,2.2012789593018574,0
