,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
35,Kemak (kem),kem,Kemak,"East Timor, Indonesia",East Timor,62000,True,<100K
36,Lakalei (lka),lka,Lakalei,East Timor,East Timor,3250,False,<10K
37,Makalero (mjb),mjb,Makalero,East Timor,East Timor,6500,False,<10K
38,Makasae (mkz),mkz,Makasae,East Timor,East Timor,102000,True,<1M
39,Makuva (lva),lva,Makuva,East Timor,East Timor,56,False,<100
40,Mambae (mgm),mgm,Mambae,East Timor,East Timor,131000,True,<1M
41,Nauete (nxa),nxa,Nauete,East Timor,East Timor,15000,True,<100K
42,Tetun (tet),tet,Tetun,"East Timor, Indonesia",East Timor,400000,True,<1M
43,Tetun Dili (tdt),tdt,Tetun Dili,East Timor,East Timor,385000,True,<1M
44,Timor Pidgin (tvy),tvy,Timor Pidgin,East Timor,East Timor,1,False,<10
45,Tukudede (tkd),tkd,Tukudede,East Timor,East Timor,39500,True,<100K
46,Waima’a (wmh),wmh,Waima’a,East Timor,East Timor,18400,True,<100K
47,Welaun (wlh),wlh,Welaun,"East Timor, Indonesia",East Timor,5575,False,<10K
48,Abinomn (bsa),bsa,Abinomn,Indonesia,Indonesia,300,True,<1K
49,Abui (abz),abz,Abui,Indonesia,Indonesia,16000,True,<100K
50,Abun (kgr),kgr,Abun,Indonesia,Indonesia,3000,True,<10K
51,Aceh (ace),ace,Aceh,Indonesia,Indonesia,3500000,True,<10M
52,Adang (adn),adn,Adang,Indonesia,Indonesia,3000,True,<10K
53,Adonara (adr),adr,Adonara,Indonesia,Indonesia,98000,True,<100K
54,Aghu (ahh),ahh,Aghu,Indonesia,Indonesia,3000,True,<10K
55,Airoran (air),air,Airoran,Indonesia,Indonesia,1000,True,<10K
56,Alor (aol),aol,Alor,Indonesia,Indonesia,25000,True,<100K
57,Alune (alp),alp,Alune,Indonesia,Indonesia,17200,True,<100K
58,Amahai (amq),amq,Amahai,Indonesia,Indonesia,50,True,<100
59,Amarasi (aaz),aaz,Amarasi,Indonesia,Indonesia,70000,True,<100K
60,Ambai (amk),amk,Ambai,Indonesia,Indonesia,10100,True,<100K
61,Ambel (wgo),wgo,Ambel,Indonesia,Indonesia,1000,True,<10K
62,Ambelau (amv),amv,Ambelau,Indonesia,Indonesia,5700,False,<10K
